school;sex;age;address;famsize;Pstatus;Medu;Fedu;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;desercion;asignatura;absences_original;sex_F;address_U;famsize_GT3;Pstatus_T;school_GP;Mjob_health;Mjob_other;Mjob_services;Mjob_teacher;Fjob_health;Fjob_other;Fjob_services;Fjob_teacher;reason_home;reason_other;reason_reputation;guardian_mother;guardian_other;aprobado;progreso_g1_g3;nivel_alcohol;edu_familiar_media
GP;F;18;U;GT3;A;4;4;2;2;0;1;0;0;0;1;1;0;0;4;3;4;1;1;3;6.0;5;6;6;0;mat;6;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1.0;4.0
GP;F;17;U;GT3;T;1;1;1;2;0;0;1;0;0;0;1;1;0;5;3;3;1;1;3;4.0;5;5;6;0;mat;4;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1.0;1.0
GP;F;15;U;LE3;T;1;1;1;2;3;1;0;1;0;1;1;1;0;4;3;2;2;3;3;10.0;7;8;10;0;mat;10;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;3;2.5;1.0
GP;F;15;U;GT3;T;4;2;1;3;0;0;1;1;1;1;1;1;1;3;2;2;1;1;5;2.0;15;14;15;0;mat;2;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1.0;3.0
GP;F;16;U;GT3;T;3;3;1;2;0;0;1;1;0;1;1;0;0;4;3;2;1;2;5;4.0;6;10;10;0;mat;4;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;4;1.5;3.0
GP;M;16;U;LE3;T;4;3;1;2;0;0;1;1;1;1;1;1;0;5;4;2;1;2;5;10.0;15;15;15;0;mat;10;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1.5;3.5
GP;M;16;U;LE3;T;2;2;1;2;0;0;0;0;0;1;1;1;0;4;4;4;1;1;3;0.0;12;12;11;0;mat;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;-1;1.0;2.0
GP;F;17;U;GT3;A;4;4;2;2;0;1;1;0;0;1;1;0;0;4;1;4;1;1;1;6.0;6;5;6;0;mat;6;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1.0;4.0
GP;M;15;U;LE3;A;3;2;1;2;0;0;1;1;0;1;1;1;0;4;2;2;1;1;1;0.0;16;18;19;0;mat;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;3;1.0;2.5
GP;M;15;U;GT3;T;3;4;1;2;0;0;1;1;1;1;1;1;0;5;5;1;1;1;5;0.0;14;15;15;0;mat;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1.0;3.5
GP;F;15;U;GT3;T;4;4;1;2;0;0;1;1;0;1;1;1;0;3;3;3;1;2;2;0.0;10;8;9;0;mat;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;-1;1.5;4.0
GP;F;15;U;GT3;T;2;1;3;3;0;0;1;0;1;1;1;1;0;5;2;2;1;1;4;4.0;10;12;12;0;mat;4;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;2;1.0;1.5
GP;M;15;U;LE3;T;4;4;1;1;0;0;1;1;1;1;1;1;0;4;3;3;1;3;5;2.0;14;14;14;0;mat;2;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2.0;4.0
